Reference; Quantity; Value; Footprint; Datasheet
C1 ;1;100nF;Capacitor_SMD:C_0805_2012Metric;~
FID1 FID2 FID3 ;3;Fiducial;Fiducial:Fiducial_0.5mm_Mask1.5mm;~
J1 ;1;IN;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-3_1x03_P5.00mm_Horizontal";~
J2 ;1;POWER;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-2_1x02_P5.00mm_Horizontal";~
J3 ;1;LAMP2;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-2_1x02_P5.00mm_Horizontal";~
J4 ;1;LAMP3;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-2_1x02_P5.00mm_Horizontal";~
J5 ;1;LAMP4;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-2_1x02_P5.00mm_Horizontal";~
J6 ;1;LAMP1;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-2_1x02_P5.00mm_Horizontal";~
J7 ;1;LAMP5;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-2_1x02_P5.00mm_Horizontal";~
J8 ;1;LAMP6;"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1	5-2_1x02_P5.00mm_Horizontal";~
Q1 Q2 Q3 Q4 Q5 Q6 ;6;2N2222;Package_TO_SOT_SMD:SOT-23;
R1 R2 ;2;10k;Resistor_SMD:R_0805_2012Metric;~
R3 R4 ;2;20k;Resistor_SMD:R_0805_2012Metric;~
R5 R6 R7 R8 R9 R10 ;6;680;Resistor_SMD:R_0805_2012Metric;~
RV1 RV2 RV3 RV4 RV5 RV6 ;6;20k;Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical;~
U1 ;1;LM358;Package_SO:SO-8_5.3x6.2mm_P1.27mm;
